
CONFIGURATION_BEGIN
ProcessingMode,PORTFOLIO_REFRESH
CONFIGURATION_END

TYPE,SWAP
VERSION,5
ACTION,ADD
MODE,TABULAR
FIELDS
PORTFOLIO_NAME,PORTFOLIO_CUSTOM_ID,SWAP TYPE,ONE LEG DEALS PAY RECEIVE,SWAP COUNTERPARTY,PRIVILEGE,DEAL NOTIONAL,DEAL EFFECTIVE DATE,DEAL MATURITY DATE,CURRENCY,DAYS BEFORE ACCRUAL TYPE,DAYS BEFORE ACCRUAL,INDEX NAME,STRIKE,PAY FREQUENCY,DISTRIBUTION TYPE
LoanBoss Cap Volatility Update,LBCP4.534_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2028,04/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.535_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2028,05/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.536_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2028,06/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.537_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2028,07/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.538_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2028,08/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.539_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2028,09/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.540_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2028,10/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.541_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2028,11/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.542_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2028,12/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.543_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2028,01/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.544_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2029,02/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.545_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2029,03/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.546_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2029,04/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.547_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2029,05/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
